 5, Callback, Callback + Posting, MIPStart + Callback, MIPStart + Callback + Posting, Benders' Loop
pr50-2024-05-09, 0.126000, 0.142000, 0.101000, 0.102000, 0.242000
pr100-2024-05-09, 2.842000, 0.911000, 2.437000, 1.912000, 2.475000
pr150-2024-05-09, 8.583000, 6.466000, 7.665000, 4.455000, 2.475000
pr200-2024-05-09, 17.039000, 7.367000, 12.225000, 4.734000, 2.475000
pr250-2024-05-09, 13.363000, 7.109000, 15.632000, 9.864000, 26.929000
a280, 7.510000, 5.793000, 7.087000, 3.026000, 15.197000
pr300-2024-05-09, 58.459000, 46.446000, 94.640000, 48.973000, 213.488000
pr350-2024-05-09, 44.968000, 17.315000, 67.607000, 18.105000, 58.743000
pr400-2024-05-09, 52.657000, 132.552000, 114.600000, 69.939000, 105.498000
pr450-2024-05-09, 132.657000, 47.199000, 75.024000, 37.005000, 87.625000
pr50-2024-05-09_1, 0.062000, 0.044000, 0.089000, 0.046000, 0.242000
pr100-2024-05-09_1, 1.316000, 0.358000, 0.601000, 0.631000, 2.475000
pr150-2024-05-09_1, 3.202000, 3.236000, 2.379000, 3.230000, 2.475000
pr200-2024-05-09_1, 15.510000, 7.021000, 15.943000, 5.319000, 2.475000
pr250-2024-05-09_1, 14.475000, 6.568000, 15.537000, 4.773000, 26.929000
a280_1, 8.146000, 5.297000, 4.494000, 2.281000, 15.197000
pr300-2024-05-09_1, 59.829000, 45.592000, 94.709000, 45.651000, 213.488000
pr350-2024-05-09_1, 43.926000, 20.003000, 45.379000, 24.815000, 58.743000
pr400-2024-05-09_1, 54.239000, 109.159000, 151.846000, 78.786000, 105.498000
pr450-2024-05-09_1, 132.343000, 30.678000, 77.594000, 39.299000, 87.625000
pr50-2024-05-09_2, 0.068000, 0.052000, 0.045000, 0.064000, 0.242000
pr100-2024-05-09_2, 1.278000, 0.338000, 0.816000, 0.816000, 2.475000
pr150-2024-05-09_2, 3.396000, 2.994000, 6.388000, 3.102000, 2.475000
pr200-2024-05-09_2, 18.859000, 7.397000, 17.961000, 4.681000, 2.475000
pr250-2024-05-09_2, 14.223000, 6.002000, 18.575000, 5.680000, 26.929000
a280_2, 8.607000, 5.820000, 5.742000, 5.841000, 15.197000
pr300-2024-05-09_2, 62.931000, 46.092000, 100.606000, 56.424000, 213.488000
pr350-2024-05-09_2, 62.751000, 23.657000, 45.485000, 21.875000, 58.743000
pr400-2024-05-09_2, 58.421000, 119.491000, 83.092000, 50.558000, 105.498000
pr450-2024-05-09_2, 128.091000, 31.904000, 86.031000, 38.845000, 87.625000
